Number,Name ES,Name EN,WIKIDATA,Division,MS_FB_PARE,MS_FB
1,Distrito 1,District 1,Q54826315,Arica y Parinacota Region,country:cl,country:cl/senate-constituency:1
2,Distrito 2,District 2,Q54826316,Tarapacá Region,country:cl,country:cl/senate-constituency:2
3,Distrito 3,District 3,Q54826317,Antofagasta Region,country:cl,country:cl/senate-constituency:3
4,Distrito 4,District 4,Q54826318,Atacama Region,country:cl,country:cl/senate-constituency:4
5,Distrito 5,District 5,Q54826319,Coquimbo Region,country:cl,country:cl/senate-constituency:5
6,Distrito 6,District 6,Q54826320,Valparaíso Region,country:cl,country:cl/senate-constituency:6
7,Distrito 7,District 7,Q54826321,Santiago Metropolitan Region,country:cl,country:cl/senate-constituency:7
8,Distrito 8,District 8,Q54826323,Libertador General Bernardo O'Higgins Region,country:cl,country:cl/senate-constituency:8
9,Distrito 9,District 9,Q54826324,Maule Region,country:cl,country:cl/senate-constituency:9
10,Distrito 10,District 10,Q54826326,Bío Bío Region,country:cl,country:cl/senate-constituency:10
11,Distrito 11,District 11,Q54826327,Araucanía Region,country:cl,country:cl/senate-constituency:11
12,Distrito 12,District 12,Q54826328,Los Ríos Region,country:cl,country:cl/senate-constituency:12
13,Distrito 13,District 13,Q54826329,Los Lagos Region,country:cl,country:cl/senate-constituency:13
14,Distrito 14,District 14,Q54826330,Aysén Region,country:cl,country:cl/senate-constituency:14
15,Distrito 15,District 15,Q54826331,Magallanes y la Antártica Chilena Region,country:cl,country:cl/senate-constituency:15
