NOM,WIKIDATA,REG_NOM,MS_FB_PARE,MS_FB
Arica,Q54832117,Arica y Parinacota Region,country:cl/region:ap,country:cl/region:ap/core:arica
Parinacota,Q54832118,Arica y Parinacota Region,country:cl/region:ap,country:cl/region:ap/core:parinacota
Iquique,Q54832120,Tarapacá Region,country:cl/region:ta,country:cl/region:ta/core:iquique
Tamarugal,Q54832121,Tarapacá Region,country:cl/region:ta,country:cl/region:ta/core:tamarugal
Tocopilla,Q54832122,Antofagasta Region,country:cl/region:an,country:cl/region:an/core:tocopilla
El Loa,Q54832123,Antofagasta Region,country:cl/region:an,country:cl/region:an/core:el-loa
Antofagasta,Q54832124,Antofagasta Region,country:cl/region:an,country:cl/region:an/core:antofagasta
Copiapó,Q54832125,Atacama Region,country:cl/region:at,country:cl/region:at/core:copiapo
Chañaral,Q54832126,Atacama Region,country:cl/region:at,country:cl/region:at/core:chanaral
Huasco,Q54832127,Atacama Region,country:cl/region:at,country:cl/region:at/core:huasco
Elqui,Q54832128,Coquimbo Region,country:cl/region:co,country:cl/region:co/core:elqui
Choapa,Q54832129,Coquimbo Region,country:cl/region:co,country:cl/region:co/core:choapa
Limarí,Q54832130,Coquimbo Region,country:cl/region:co,country:cl/region:co/core:limari
Valparaíso I,Q54832131,Valparaíso Region,country:cl/region:vs,country:cl/region:vs/core:valparaiso-i
Valparaíso II,Q54832132,Valparaíso Region,country:cl/region:vs,country:cl/region:vs/core:valparaiso-ii
Isla de Pascua,Q54832133,Valparaíso Region,country:cl/region:vs,country:cl/region:vs/core:isla-de-pascua
Los Andes,Q54832134,Valparaíso Region,country:cl/region:vs,country:cl/region:vs/core:los-andes
Marga Marga,Q54832135,Valparaíso Region,country:cl/region:vs,country:cl/region:vs/core:marga-marga
Petorca,Q54832137,Valparaíso Region,country:cl/region:vs,country:cl/region:vs/core:petorca
Quillota,Q54832138,Valparaíso Region,country:cl/region:vs,country:cl/region:vs/core:quillota
San Antonio,Q54832139,Valparaíso Region,country:cl/region:vs,country:cl/region:vs/core:san-antonio
San Felipe,Q54832140,Valparaíso Region,country:cl/region:vs,country:cl/region:vs/core:san-felipe
Santiago I,Q54832141,Santiago Metropolitan Region,country:cl/region:rm,country:cl/region:rm/core:santiago-i
Santiago II,Q54832142,Santiago Metropolitan Region,country:cl/region:rm,country:cl/region:rm/core:santiago-ii
Santiago III,Q54832143,Santiago Metropolitan Region,country:cl/region:rm,country:cl/region:rm/core:santiago-iii
Santiago IV,Q54832144,Santiago Metropolitan Region,country:cl/region:rm,country:cl/region:rm/core:santiago-iv
