REGION,NOM_REGION,ISO_code,WIKIDATA,MS_FB_PARE,MS_FB
1,Región de Tarapacá,CL-TA,Q2114,country:cl,country:cl/region:ta
2,Región de Antofagasta,CL-AN,Q2118,country:cl,country:cl/region:an
3,Región de Atacama,CL-AT,Q2120,country:cl,country:cl/region:at
4,Región de Coquimbo,CL-CO,Q2121,country:cl,country:cl/region:co
5,Región de Valparaíso,CL-VS,Q219458,country:cl,country:cl/region:vs
6,Región del Libertador General Bernardo O'Higgins,CL-LI,Q2133,country:cl,country:cl/region:li
7,Región del Maule,CL-ML,Q2166,country:cl,country:cl/region:ml
8,Región del Biobío,CL-BI,Q2170,country:cl,country:cl/region:bi
9,Región de la Araucanía,CL-AR,Q2176,country:cl,country:cl/region:ar
10,Región de Los Lagos,CL-LL,Q2178,country:cl,country:cl/region:ll
11,Región de Aysén del General Carlos Ibáñez del Campo,CL-AI,Q2181,country:cl,country:cl/region:ai
12,Región de Magallanes y de la Antártica Chilena,CL-MA,Q2189,country:cl,country:cl/region:ma
13,Región Metropolitana de Santiago,CL-RM,Q2131,country:cl,country:cl/region:rm
14,Región de Los Ríos,CL-LR,Q2177,country:cl,country:cl/region:lr
15,Región de Arica y Parinacota,CL-AP,Q2109,country:cl,country:cl/region:ap
