Number,NOM,NAME_EN,WIKIDATA,Division,MS_FB_PARE,MS_FB
1,Distrito 1,District 1,Q54826372,Arica y Parinacota Region,country:cl/region:ap,country:cl/region:ap/chamber-constituency:1
2,Distrito 2,District 2,Q54826373,Tarapacá Region,country:cl/region:ta,country:cl/region:ta/chamber-constituency:2
3,Distrito 3,District 3,Q54826374,Antofagasta Region,country:cl/region:an,country:cl/region:an/chamber-constituency:3
4,Distrito 4,District 4,Q54826375,Atacama Region,country:cl/region:at,country:cl/region:at/chamber-constituency:4
5,Distrito 5,District 5,Q54826376,Coquimbo Region,country:cl/region:co,country:cl/region:co/chamber-constituency:5
6,Distrito 6,District 6,Q54826377,Valparaíso Region,country:cl/region:vs,country:cl/region:vs/chamber-constituency:6
7,Distrito 7,District 7,Q54826378,Valparaíso Region,country:cl/region:vs,country:cl/region:vs/chamber-constituency:7
8,Distrito 8,District 8,Q54826380,Santiago Metropolitan Region,country:cl/region:rm,country:cl/region:rm/chamber-constituency:8
9,Distrito 9,District 9,Q54826381,Santiago Metropolitan Region,country:cl/region:rm,country:cl/region:rm/chamber-constituency:9
10,Distrito 10,District 10,Q54826383,Santiago Metropolitan Region,country:cl/region:rm,country:cl/region:rm/chamber-constituency:10
11,Distrito 11,District 11,Q54826384,Santiago Metropolitan Region,country:cl/region:rm,country:cl/region:rm/chamber-constituency:11
12,Distrito 12,District 12,Q54826385,Santiago Metropolitan Region,country:cl/region:rm,country:cl/region:rm/chamber-constituency:12
13,Distrito 13,District 13,Q54826386,Santiago Metropolitan Region,country:cl/region:rm,country:cl/region:rm/chamber-constituency:13
14,Distrito 14,District 14,Q54826387,Santiago Metropolitan Region,country:cl/region:rm,country:cl/region:rm/chamber-constituency:14
15,Distrito 15,District 15,Q54826388,Libertador General Bernardo O'Higgins Region,country:cl/region:li,country:cl/region:li/chamber-constituency:15
16,Distrito 16,District 16,Q54826389,Libertador General Bernardo O'Higgins Region,country:cl/region:li,country:cl/region:li/chamber-constituency:16
17,Distrito 17,District 17,Q54826390,Maule Region,country:cl/region:ml,country:cl/region:ml/chamber-constituency:17
18,Distrito 18,District 18,Q54826391,Maule Region,country:cl/region:ml,country:cl/region:ml/chamber-constituency:18
19,Distrito 19,District 19,Q54826393,Bío Bío Region,country:cl/region:bi,country:cl/region:bi/chamber-constituency:19
20,Distrito 20,District 20,Q54826394,Bío Bío Region,country:cl/region:bi,country:cl/region:bi/chamber-constituency:20
21,Distrito 21,District 21,Q54826395,Bío Bío Region,country:cl/region:bi,country:cl/region:bi/chamber-constituency:21
22,Distrito 22,District 22,Q54826396,Araucanía Region,country:cl/region:ar,country:cl/region:ar/chamber-constituency:22
23,Distrito 23,District 23,Q54826397,Araucanía Region,country:cl/region:ar,country:cl/region:ar/chamber-constituency:23
24,Distrito 24,District 24,Q54826398,Los Ríos Region,country:cl/region:lr,country:cl/region:lr/chamber-constituency:24
25,Distrito 25,District 25,Q54826399,Los Lagos Region,country:cl/region:ll,country:cl/region:ll/chamber-constituency:25
26,Distrito 26,District 26,Q54826400,Los Lagos Region,country:cl/region:ll,country:cl/region:ll/chamber-constituency:26
27,Distrito 27,District 27,Q54826401,Aysén Region,country:cl/region:ai,country:cl/region:ai/chamber-constituency:27
28,Distrito 28,District 28,Q54826402,Magallanes y la Antártica Chilena Region,country:cl/region:ma,country:cl/region:ma/chamber-constituency:28
